TransactionID,PortefeuilleID,InstrumentID,DateTransaction,TypeTransaction,Quantite,PrixUnitaire,MontantBrut,Frais,MontantNet,Devise,TauxChange_EUR,MontantNet_EUR,Statut,Courtier,Operateur
TRX000033,PF00090,INST015,2024-05-28,Achat,208.03,204.2624,42492.71,106.06,42386.65,EUR,1.0,42386.65,Exécuté,Xetra,OPE002
TRX000034,PF00008,INST006,2024-04-26,Achat,419.75,328.4807,137879.77,574.34,137305.43,USD,0.9077,124632.14,Annulé,NYSE,OPE004
TRX000035,PF00115,INST010,2023-06-14,Achat,453.02,19.3119,8748.68,16.3,8732.38,USD,1.0098,8817.96,En attente,OTC,OPE004
TRX000036,PF00029,INST013,2024-10-25,Dividende,119.58,69.7057,8335.41,16.29,8351.7,EUR,1.0,8351.7,Exécuté,Euronext,OPE004
TRX000037,PF00138,INST001,2025-05-31,Arbitrage Entrant,258.17,128.5497,33187.68,52.25,33239.93,EUR,1.0,33239.93,Exécuté,OTC,OPE003
TRX000038,PF00062,INST010,2024-08-17,Coupon,94.47,337.4253,31876.57,98.62,31975.19,EUR,1.0,31975.19,Exécuté,OTC,OPE005
TRX000039,PF00130,INST013,2024-11-05,Frais,277.52,201.3223,55870.96,160.94,55710.02,EUR,1.0,55710.02,Exécuté,Xetra,OPE001
TRX000040,PF00092,INST013,2025-08-22,Achat,173.06,369.1411,63883.56,224.42,63659.14,EUR,1.0,63659.14,Exécuté,Euronext,OPE003
TRX000041,PF00140,INST006,2024-10-25,Arbitrage Sortant,321.76,416.888,134137.88,501.51,134639.39,EUR,1.0,134639.39,Exécuté,NYSE,OPE001
TRX000042,PF00118,INST001,2023-08-18,Dividende,101.59,397.6435,40396.6,183.53,40580.13,EUR,1.0,40580.13,Exécuté,OTC,OPE004
TRX000043,PF00140,INST008,2024-02-21,Dividende,19.27,326.9812,6300.93,13.51,6314.44,EUR,1.0,6314.44,Exécuté,Xetra,OPE001
TRX000044,PF00095,INST007,2025-07-02,Coupon,371.91,448.3724,166754.18,424.65,167178.83,USD,0.9992,167045.09,Annulé,Xetra,OPE005
TRX000045,PF00069,INST013,2025-09-19,Achat,363.81,48.6742,17708.16,60.38,17647.78,USD,1.0091,17808.37,Exécuté,Euronext,OPE001
TRX000046,PF00084,INST011,2026-04-02,Dividende,153.94,305.2846,46995.51,127.1,47122.61,EUR,1.0,47122.61,Exécuté,SIX,OPE001
TRX000047,PF00091,INST010,2024-01-20,Coupon,138.0,490.2134,67649.45,324.15,67973.6,EUR,1.0,67973.6,Annulé,Xetra,OPE005
TRX000048,PF00041,INST001,2025-08-22,Vente,424.49,342.2635,145287.43,399.93,145687.36,USD,0.9134,133070.83,Exécuté,Xetra,OPE004
TRX000049,PF00146,INST001,2023-12-25,Frais,77.57,230.4621,17876.95,44.4,17832.55,EUR,1.0,17832.55,Exécuté,OTC,OPE002
TRX000050,PF00136,INST006,2025-01-30,Coupon,157.88,146.558,23138.58,112.04,23250.62,EUR,1.0,23250.62,Exécuté,SIX,OPE005
TRX000051,PF00100,INST015,2023-07-28,Frais,59.76,389.7326,23290.42,88.88,23201.54,USD,1.0993,25505.45,Exécuté,SIX,OPE002
TRX000052,PF00032,INST003,2026-05-06,Arbitrage Sortant,37.95,94.6016,3590.13,13.83,3603.96,EUR,1.0,3603.96,Exécuté,Xetra,OPE001
TRX000053,PF00141,INST009,2024-04-23,Dividende,445.77,427.1674,190418.41,732.58,191150.99,USD,1.0587,202371.55,En attente,NYSE,OPE001
TRX000054,PF00052,INST013,2024-06-12,Vente,119.13,252.0707,30029.18,73.38,30102.56,EUR,1.0,30102.56,Annulé,OTC,OPE002
TRX000055,PF00023,INST002,2023-11-02,Dividende,199.68,361.2975,72143.88,210.27,72354.15,EUR,1.0,72354.15,Annulé,OTC,OPE001
TRX000056,PF00033,INST006,2023-08-30,Arbitrage Entrant,38.01,238.2583,9056.2,27.8,9084.0,USD,1.0756,9770.75,En attente,OTC,OPE002
TRX000057,PF00034,INST007,2023-11-22,Frais,455.45,37.1523,16921.02,25.32,16895.7,USD,0.9608,16233.39,Exécuté,Xetra,OPE002
TRX000058,PF00089,INST009,2023-11-02,Dividende,423.12,132.7966,56188.9,198.92,56387.82,EUR,1.0,56387.82,Exécuté,Xetra,OPE005
TRX000059,PF00137,INST002,2025-12-19,Frais,320.85,299.9861,96250.54,319.8,95930.74,USD,1.0317,98971.74,En attente,Xetra,OPE005
TRX000060,PF00011,INST014,2023-10-24,Arbitrage Sortant,15.16,32.2763,489.31,1.74,491.05,EUR,1.0,491.05,Exécuté,OTC,OPE004
TRX000061,PF00008,INST008,2023-09-15,Arbitrage Entrant,273.24,324.5346,88675.83,195.83,88871.66,USD,1.0609,94283.94,Annulé,Xetra,OPE004
TRX000062,PF00019,INST012,2023-08-03,Achat,79.88,213.6547,17066.74,48.77,17017.97,EUR,1.0,17017.97,En attente,NYSE,OPE003
TRX000063,PF00082,INST012,2025-12-30,Arbitrage Sortant,173.34,205.3711,35599.03,143.91,35742.94,EUR,1.0,35742.94,Exécuté,NYSE,OPE004
TRX000064,PF00032,INST005,2023-06-01,Coupon,124.71,57.4377,7163.06,15.48,7178.54,EUR,1.0,7178.54,En attente,SIX,OPE002
TRX000065,PF00041,INST014,2025-08-15,Dividende,466.94,363.3529,169664.0,298.5,169962.5,USD,0.9997,169911.51,En attente,SIX,OPE004
TRX000066,PF00079,INST008,2024-03-06,Achat,45.93,202.6887,9309.49,26.34,9283.15,USD,0.943,8754.01,Exécuté,Euronext,OPE001
TRX000067,PF00073,INST008,2024-05-27,Frais,441.29,330.5874,145884.91,420.49,145464.42,EUR,1.0,145464.42,Exécuté,SIX,OPE002
TRX000068,PF00068,INST012,2025-11-08,Dividende,382.16,189.3093,72346.44,188.27,72534.71,USD,0.9725,70540.01,Exécuté,Euronext,OPE004
TRX000069,PF00130,INST008,2025-08-23,Arbitrage Sortant,275.38,414.4025,114118.16,398.61,114516.77,EUR,1.0,114516.77,Exécuté,Euronext,OPE004
TRX000070,PF00096,INST013,2024-03-03,Dividende,279.36,189.1471,52840.13,83.33,52923.46,EUR,1.0,52923.46,En attente,Euronext,OPE001
TRX000071,PF00010,INST003,2025-07-06,Arbitrage Entrant,167.19,242.1346,40482.48,114.48,40596.96,USD,0.9656,39200.42,En attente,Xetra,OPE002
TRX000072,PF00101,INST010,2023-10-24,Arbitrage Entrant,421.46,300.9251,126827.89,384.19,127212.08,EUR,1.0,127212.08,En attente,Xetra,OPE004
TRX000073,PF00005,INST006,2024-07-18,Dividende,337.23,490.15,165293.28,551.22,165844.5,EUR,1.0,165844.5,En attente,SIX,OPE003
TRX000074,PF00149,INST010,2024-02-03,Vente,360.98,295.9264,106823.51,179.68,107003.19,EUR,1.0,107003.19,Exécuté,NYSE,OPE001
TRX000075,PF00147,INST012,2023-09-25,Achat,96.2,226.1089,21751.68,58.19,21693.49,EUR,1.0,21693.49,Exécuté,SIX,OPE005
TRX000076,PF00121,INST014,2025-02-23,Arbitrage Sortant,368.18,40.5178,14917.84,23.16,14941.0,USD,1.0122,15123.28,Annulé,OTC,OPE004
TRX000077,PF00081,INST003,2025-07-20,Coupon,456.15,177.7402,81076.19,195.97,81272.16,EUR,1.0,81272.16,En attente,SIX,OPE002
TRX000078,PF00064,INST005,2025-08-01,Frais,149.95,471.3279,70675.62,348.36,70327.26,EUR,1.0,70327.26,Exécuté,SIX,OPE003
TRX000079,PF00123,INST006,2023-06-02,Frais,466.92,399.7486,186650.62,390.81,186259.81,EUR,1.0,186259.81,En attente,OTC,OPE004
TRX000080,PF00102,INST014,2025-01-23,Dividende,477.35,404.2618,192974.37,417.17,193391.54,EUR,1.0,193391.54,Exécuté,Xetra,OPE004
TRX000081,PF00066,INST012,2023-12-24,Coupon,107.78,415.6963,44803.75,93.39,44897.14,EUR,1.0,44897.14,Exécuté,Euronext,OPE005
TRX000082,PF00062,INST004,2023-07-15,Achat,335.25,270.2103,90588.0,321.75,90266.25,EUR,1.0,90266.25,Exécuté,SIX,OPE003
TRX000083,PF00121,INST002,2024-09-22,Arbitrage Entrant,385.61,12.5389,4835.13,15.48,4850.61,USD,0.9814,4760.39,Annulé,SIX,OPE002
TRX000084,PF00074,INST006,2024-11-28,Dividende,323.3,454.8891,147065.65,199.69,147265.34,USD,1.007,148296.2,Exécuté,NYSE,OPE004
TRX000085,PF00046,INST015,2025-03-22,Achat,498.59,204.5273,101975.27,304.04,101671.23,EUR,1.0,101671.23,Exécuté,Euronext,OPE003
TRX000086,PF00146,INST010,2024-02-14,Achat,464.3,174.1706,80867.41,227.84,80639.57,EUR,1.0,80639.57,Exécuté,OTC,OPE004
TRX000087,PF00070,INST004,2025-03-16,Arbitrage Sortant,57.21,89.6222,5127.29,14.54,5141.83,EUR,1.0,5141.83,Exécuté,Euronext,OPE003
TRX000088,PF00076,INST010,2026-05-09,Arbitrage Entrant,378.88,95.9925,36369.64,160.92,36530.56,EUR,1.0,36530.56,Annulé,OTC,OPE003
TRX000089,PF00023,INST007,2023-11-02,Arbitrage Entrant,48.6,491.0257,23863.85,69.44,23933.29,USD,0.9014,21573.47,Annulé,NYSE,OPE004
TRX000090,PF00069,INST006,2024-11-21,Dividende,291.65,290.7099,84785.54,173.49,84959.03,EUR,1.0,84959.03,Exécuté,Euronext,OPE001
TRX000091,PF00120,INST005,2023-08-28,Vente,203.3,256.235,52092.58,238.61,52331.19,EUR,1.0,52331.19,Exécuté,Xetra,OPE003
TRX000092,PF00057,INST004,2026-03-13,Vente,239.61,232.9395,55814.63,276.58,56091.21,EUR,1.0,56091.21,Annulé,OTC,OPE004
TRX000093,PF00138,INST013,2024-12-07,Arbitrage Entrant,412.98,383.3112,158299.86,589.09,158888.95,EUR,1.0,158888.95,En attente,SIX,OPE005
TRX000094,PF00093,INST002,2026-03-23,Frais,56.99,416.0993,23713.5,109.36,23604.14,USD,1.0145,23946.4,Exécuté,NYSE,OPE003
TRX000095,PF00134,INST008,2025-08-10,Achat,340.47,361.2898,123008.34,363.53,122644.81,EUR,1.0,122644.81,Exécuté,SIX,OPE002
TRX000096,PF00132,INST007,2025-08-28,Coupon,282.39,283.8106,80145.28,295.82,80441.1,EUR,1.0,80441.1,Exécuté,SIX,OPE003
TRX000097,PF00001,INST012,2024-11-27,Vente,289.58,32.192,9322.16,22.17,9344.33,EUR,1.0,9344.33,En attente,Euronext,OPE001
TRX000098,PF00121,INST001,2023-10-30,Dividende,205.02,386.7963,79300.98,322.22,79623.2,EUR,1.0,79623.2,Exécuté,SIX,OPE004
TRX000099,PF00097,INST007,2026-04-25,Achat,341.68,334.2783,114216.21,360.6,113855.61,EUR,1.0,113855.61,Exécuté,NYSE,OPE005
TRX000100,PF00101,INST009,2025-06-01,Vente,364.2,119.1182,43382.85,43.99,43426.84,EUR,1.0,43426.84,Exécuté,SIX,OPE005
TRX000101,PF00109,INST009,2024-12-25,Coupon,411.86,131.2809,54069.35,128.94,54198.29,EUR,1.0,54198.29,Exécuté,Euronext,OPE001
TRX000102,PF00108,INST010,2025-04-07,Arbitrage Sortant,468.18,445.6303,208635.19,409.48,209044.67,EUR,1.0,209044.67,Exécuté,OTC,OPE001
TRX000103,PF00115,INST010,2023-10-11,Arbitrage Entrant,351.94,33.8514,11913.66,47.2,11960.86,EUR,1.0,11960.86,Annulé,NYSE,OPE005
TRX000104,PF00056,INST013,2025-10-24,Arbitrage Sortant,388.26,78.6664,30543.02,151.92,30694.94,USD,1.0632,32634.86,En attente,Xetra,OPE005
TRX000105,PF00083,INST004,2023-06-14,Dividende,438.25,492.9908,216053.22,666.53,216719.75,EUR,1.0,216719.75,Exécuté,Xetra,OPE001
TRX000106,PF00143,INST010,2025-11-27,Arbitrage Entrant,455.88,316.7366,144393.88,391.13,144785.01,EUR,1.0,144785.01,Exécuté,Xetra,OPE004
TRX000107,PF00135,INST006,2024-01-16,Arbitrage Entrant,208.75,83.1166,17350.59,43.48,17394.07,EUR,1.0,17394.07,Exécuté,NYSE,OPE003
TRX000108,PF00037,INST013,2023-06-11,Coupon,457.46,285.5691,130636.44,636.35,131272.79,USD,0.9777,128345.41,Exécuté,NYSE,OPE003
TRX000109,PF00021,INST015,2025-11-28,Coupon,423.72,55.3074,23434.85,91.36,23526.21,USD,0.9103,21415.91,Annulé,OTC,OPE005
TRX000110,PF00011,INST014,2024-12-18,Achat,94.89,383.2312,36364.81,141.72,36223.09,USD,0.9959,36074.58,Exécuté,Xetra,OPE001
TRX000111,PF00055,INST015,2023-09-11,Vente,481.08,67.4849,32465.64,162.27,32627.91,EUR,1.0,32627.91,Exécuté,OTC,OPE002
TRX000112,PF00102,INST015,2024-08-31,Vente,276.49,390.0018,107831.6,272.02,108103.62,EUR,1.0,108103.62,Exécuté,Xetra,OPE003
TRX000113,PF00132,INST015,2024-09-01,Coupon,233.54,403.3801,94205.39,366.43,94571.82,EUR,1.0,94571.82,Exécuté,Xetra,OPE003
TRX000114,PF00106,INST001,2026-03-31,Frais,432.18,373.2137,161295.5,171.76,161123.74,EUR,1.0,161123.74,Exécuté,NYSE,OPE002
TRX000115,PF00085,INST004,2025-10-30,Coupon,285.32,130.4077,37207.92,119.16,37327.08,EUR,1.0,37327.08,Exécuté,SIX,OPE004
TRX000116,PF00118,INST003,2025-01-18,Arbitrage Entrant,397.69,92.9402,36961.39,143.46,37104.85,EUR,1.0,37104.85,Exécuté,OTC,OPE001
TRX000117,PF00135,INST001,2025-01-31,Arbitrage Sortant,423.5,473.1422,200375.72,735.95,201111.67,EUR,1.0,201111.67,Annulé,NYSE,OPE002
TRX000118,PF00018,INST012,2026-01-24,Vente,5.56,257.8091,1433.42,3.57,1436.99,EUR,1.0,1436.99,Annulé,Euronext,OPE001
TRX000119,PF00137,INST009,2025-09-27,Coupon,6.91,269.4146,1861.65,3.91,1865.56,EUR,1.0,1865.56,Exécuté,OTC,OPE004
TRX000120,PF00046,INST002,2024-01-20,Achat,262.67,128.0747,33641.38,117.04,33524.34,EUR,1.0,33524.34,Exécuté,Xetra,OPE004
TRX000121,PF00021,INST006,2024-03-14,Coupon,230.04,129.1719,29714.7,112.59,29827.29,EUR,1.0,29827.29,Exécuté,Euronext,OPE001
TRX000122,PF00104,INST007,2023-05-21,Coupon,276.8,37.4963,10378.98,10.77,10389.75,USD,0.9165,9522.21,Annulé,Xetra,OPE005
TRX000123,PF00025,INST015,2025-05-31,Frais,459.66,122.5856,56347.7,259.49,56088.21,EUR,1.0,56088.21,Exécuté,Euronext,OPE001
TRX000124,PF00072,INST015,2024-03-13,Frais,282.19,26.1219,7371.34,34.76,7336.58,EUR,1.0,7336.58,Exécuté,NYSE,OPE005
TRX000125,PF00037,INST013,2025-03-23,Arbitrage Sortant,356.64,205.165,73170.05,95.69,73265.74,USD,1.0128,74203.54,En attente,SIX,OPE005
TRX000126,PF00085,INST007,2024-02-14,Arbitrage Sortant,370.13,397.3441,147068.97,552.57,147621.54,EUR,1.0,147621.54,En attente,Xetra,OPE001
TRX000127,PF00026,INST007,2024-12-16,Vente,419.5,176.8904,74205.52,302.46,74507.98,EUR,1.0,74507.98,Exécuté,Euronext,OPE003
TRX000128,PF00116,INST008,2024-01-15,Vente,178.55,471.16,84125.62,229.44,84355.06,EUR,1.0,84355.06,Exécuté,OTC,OPE003
TRX000129,PF00064,INST012,2024-06-20,Achat,41.94,85.5683,3588.73,13.8,3574.93,USD,1.0479,3746.17,Exécuté,Xetra,OPE001
TRX000130,PF00024,INST001,2024-10-31,Dividende,222.92,383.0598,85391.69,120.31,85512.0,EUR,1.0,85512.0,Exécuté,SIX,OPE004
TRX000131,PF00143,INST009,2024-03-03,Frais,204.61,22.8683,4679.08,11.3,4667.78,EUR,1.0,4667.78,En attente,OTC,OPE003
TRX000132,PF00099,INST001,2025-03-17,Dividende,207.49,391.7929,81293.11,316.99,81610.1,USD,1.0144,82785.29,Exécuté,SIX,OPE002
TRX000133,PF00036,INST005,2024-08-04,Dividende,134.93,81.5081,10997.89,18.35,11016.24,EUR,1.0,11016.24,Annulé,Xetra,OPE004
TRX000134,PF00020,INST006,2024-07-10,Dividende,472.17,363.2407,171511.36,511.65,172023.01,USD,0.9916,170578.02,Exécuté,Xetra,OPE001
TRX000135,PF00102,INST006,2025-01-19,Arbitrage Sortant,310.48,403.9975,125433.14,290.77,125723.91,EUR,1.0,125723.91,Annulé,OTC,OPE002
TRX000136,PF00077,INST006,2024-04-18,Frais,473.69,108.4172,51356.14,115.9,51240.24,EUR,1.0,51240.24,Exécuté,Xetra,OPE004
TRX000137,PF00148,INST013,2024-09-03,Vente,163.62,147.3471,24108.93,99.89,24208.82,EUR,1.0,24208.82,Exécuté,OTC,OPE002
TRX000138,PF00140,INST003,2025-10-11,Arbitrage Entrant,384.04,23.1889,8905.47,34.81,8940.28,USD,0.9877,8830.31,Exécuté,Euronext,OPE004
TRX000139,PF00128,INST003,2025-09-29,Arbitrage Entrant,152.11,133.814,20354.45,32.9,20387.35,EUR,1.0,20387.35,Annulé,Euronext,OPE004
TRX000140,PF00123,INST010,2024-12-18,Coupon,267.65,462.5129,123791.58,554.4,124345.98,EUR,1.0,124345.98,En attente,Euronext,OPE003
TRX000141,PF00138,INST010,2026-02-01,Arbitrage Entrant,457.29,63.591,29079.53,57.95,29137.48,EUR,1.0,29137.48,Exécuté,OTC,OPE001
TRX000142,PF00145,INST011,2025-04-13,Arbitrage Entrant,323.73,483.7375,156600.34,364.31,156964.65,EUR,1.0,156964.65,Exécuté,Euronext,OPE001
TRX000143,PF00067,INST004,2025-05-13,Frais,373.68,283.4168,105907.19,397.22,105509.97,USD,0.9892,104370.46,Annulé,SIX,OPE005
TRX000144,PF00129,INST003,2023-07-06,Dividende,498.85,246.5578,122995.36,268.34,123263.7,EUR,1.0,123263.7,Exécuté,NYSE,OPE003
TRX000145,PF00080,INST006,2025-11-22,Coupon,392.35,265.3463,104108.62,249.15,104357.77,EUR,1.0,104357.77,Annulé,SIX,OPE003
TRX000146,PF00018,INST005,2025-08-17,Achat,405.28,66.3918,26907.27,118.3,26788.97,EUR,1.0,26788.97,Exécuté,NYSE,OPE005
TRX000147,PF00045,INST009,2026-02-21,Vente,166.16,218.921,36375.91,103.61,36479.52,EUR,1.0,36479.52,Exécuté,NYSE,OPE004
TRX000148,PF00102,INST001,2025-01-26,Arbitrage Entrant,307.44,106.689,32800.47,110.5,32910.97,EUR,1.0,32910.97,Exécuté,NYSE,OPE002
TRX000149,PF00072,INST013,2025-06-19,Arbitrage Entrant,404.56,40.6562,16447.87,23.14,16471.01,USD,0.9732,16029.59,Exécuté,SIX,OPE001
TRX000150,PF00068,INST011,2023-11-30,Arbitrage Sortant,245.25,483.299,118529.08,267.12,118796.2,EUR,1.0,118796.2,En attente,SIX,OPE005
TRX000151,PF00030,INST006,2024-03-23,Dividende,422.91,312.5077,132162.63,562.35,132724.98,EUR,1.0,132724.98,En attente,OTC,OPE001
TRX000152,PF00035,INST006,2025-07-05,Achat,120.05,67.305,8079.97,20.15,8059.82,USD,1.0022,8077.55,Annulé,OTC,OPE002
TRX000153,PF00148,INST007,2025-06-24,Coupon,93.69,321.3958,30111.57,113.63,30225.2,USD,1.011,30557.68,Annulé,Xetra,OPE002
TRX000154,PF00048,INST006,2025-09-18,Arbitrage Sortant,226.05,36.2695,8198.72,19.97,8218.69,EUR,1.0,8218.69,Annulé,NYSE,OPE002
TRX000155,PF00099,INST009,2024-08-15,Frais,326.88,210.4758,68800.33,204.12,68596.21,EUR,1.0,68596.21,Annulé,NYSE,OPE001
TRX000156,PF00145,INST001,2026-05-16,Arbitrage Sortant,380.77,153.1241,58305.06,122.41,58427.47,EUR,1.0,58427.47,Exécuté,SIX,OPE005
TRX000157,PF00127,INST009,2023-11-30,Frais,57.49,65.9613,3792.12,15.55,3776.57,EUR,1.0,3776.57,En attente,Euronext,OPE004
TRX000158,PF00140,INST004,2026-01-28,Coupon,52.11,416.7347,21716.05,86.98,21803.03,EUR,1.0,21803.03,Exécuté,SIX,OPE003
TRX000159,PF00090,INST014,2026-05-08,Arbitrage Sortant,44.4,433.9923,19269.26,28.32,19297.58,USD,0.942,18178.32,En attente,Xetra,OPE005
TRX000160,PF00110,INST003,2025-08-01,Frais,70.48,111.2436,7840.45,14.33,7826.12,EUR,1.0,7826.12,En attente,Xetra,OPE005
TRX000161,PF00072,INST010,2024-08-01,Frais,85.02,489.7101,41635.15,90.37,41544.78,EUR,1.0,41544.78,En attente,Euronext,OPE002
TRX000162,PF00106,INST015,2025-02-06,Achat,496.25,434.8533,215795.95,325.32,215470.63,USD,0.9499,204675.55,Exécuté,NYSE,OPE004
TRX000163,PF00126,INST003,2025-01-27,Frais,316.57,317.6283,100551.59,251.45,100300.14,EUR,1.0,100300.14,Exécuté,SIX,OPE005
TRX000164,PF00072,INST012,2025-05-18,Dividende,227.89,249.1418,56776.92,188.94,56965.86,EUR,1.0,56965.86,Annulé,Xetra,OPE001
TRX000165,PF00137,INST007,2025-06-02,Vente,484.1,414.1753,200502.26,597.27,201099.53,EUR,1.0,201099.53,Exécuté,Xetra,OPE005
TRX000166,PF00148,INST003,2025-10-12,Frais,426.36,396.2688,168953.17,773.23,168179.94,EUR,1.0,168179.94,Exécuté,Euronext,OPE004
TRX000167,PF00005,INST002,2023-06-17,Arbitrage Sortant,79.83,233.6939,18655.78,92.67,18748.45,EUR,1.0,18748.45,Exécuté,NYSE,OPE003
TRX000168,PF00041,INST014,2023-08-30,Dividende,47.58,186.6133,8879.06,11.81,8890.87,USD,0.9104,8094.25,Exécuté,NYSE,OPE004
TRX000169,PF00024,INST012,2025-09-27,Achat,1.54,243.6353,375.2,0.57,374.63,USD,1.0039,376.09,Annulé,Euronext,OPE001
TRX000170,PF00088,INST014,2025-05-31,Achat,494.09,216.9338,107184.82,163.85,107020.97,EUR,1.0,107020.97,Exécuté,SIX,OPE001
TRX000171,PF00027,INST002,2025-01-09,Dividende,184.41,156.6351,28885.08,73.1,28958.18,USD,1.0283,29777.7,Exécuté,Euronext,OPE005
TRX000172,PF00145,INST001,2023-07-22,Frais,325.36,225.6487,73417.06,285.57,73131.49,USD,1.084,79274.54,En attente,SIX,OPE002
TRX000173,PF00023,INST015,2024-06-13,Achat,70.87,70.347,4985.49,19.54,4965.95,EUR,1.0,4965.95,Annulé,Xetra,OPE002
TRX000174,PF00064,INST005,2023-08-27,Arbitrage Entrant,43.04,281.1643,12101.31,41.14,12142.45,EUR,1.0,12142.45,Exécuté,Xetra,OPE002
