PeriodeDate,PortefeuilleID,Rendement_pct,Benchmark_pct,Alpha_pct,Volatilite_pct,RatioSharpe,MaxDrawdown_pct,ValeurPortefeuille_EUR,FluxNets_EUR,RendementCumule_pct
2022-01-31,PF00146,0.44,0.49,-0.05,12.62,0.0349,-11.19,1249379.89,83573.49,71.08
2022-01-31,PF00132,5.56,-0.07,5.63,9.93,0.5599,-9.43,1295299.68,42704.3,21.6701
2022-01-31,PF00089,-4.69,6.92,-11.61,14.07,-0.3333,-4.37,1211483.31,34097.76,57.1745
2022-01-31,PF00069,-1.86,1.19,-3.05,12.95,-0.1436,-6.66,1348868.62,86959.79,-15.8236
2022-01-31,PF00047,-3.51,-5.18,1.67,19.17,-0.1831,-8.34,792906.98,-44935.35,62.6549
2022-01-31,PF00121,9.36,-0.76,10.12,4.96,1.8871,-1.91,567533.88,15846.87,60.813
2022-01-31,PF00057,-7.87,0.72,-8.59,13.35,-0.5895,-0.79,1893952.04,-20984.53,-12.5613
2022-01-31,PF00087,1.36,0.9,0.46,16.85,0.0807,-2.19,306560.75,54364.63,-14.1824
2022-01-31,PF00150,5.46,5.39,0.07,12.84,0.4252,-1.12,1672274.72,36601.43,15.4971
2022-01-31,PF00059,-5.92,-5.51,-0.41,4.15,-1.4265,-2.37,454969.61,75680.83,-12.2222
2022-01-31,PF00010,-4.0,-1.38,-2.62,3.17,-1.2618,-14.68,684752.01,-29822.06,26.2518
2022-01-31,PF00137,-4.66,7.13,-11.79,17.9,-0.2603,-5.29,1594187.86,18514.13,57.9523
2022-01-31,PF00142,0.67,7.7,-7.03,7.05,0.095,-4.33,1560802.46,85616.82,-8.762
2022-01-31,PF00032,-4.75,1.94,-6.69,18.15,-0.2617,-6.58,1600264.56,48554.08,9.0092
2022-01-31,PF00080,-2.04,7.93,-9.97,3.71,-0.5499,-1.21,24290.83,68467.12,13.1872
2022-01-31,PF00024,-0.39,8.99,-9.38,13.57,-0.0287,-11.83,349964.23,36409.92,20.9911
2022-01-31,PF00143,-5.89,-2.0,-3.89,15.11,-0.3898,-3.01,294124.17,29997.43,46.2632
2022-01-31,PF00016,10.88,6.96,3.92,18.91,0.5754,-1.65,1566561.48,-23499.77,78.687
2022-01-31,PF00148,2.28,1.14,1.14,14.14,0.1612,-5.59,1055478.5,-43958.94,49.6001
2022-01-31,PF00122,-3.87,7.66,-11.53,18.98,-0.2039,-3.23,1594673.9,25534.16,42.7463
2022-01-31,PF00042,2.99,-5.31,8.3,7.56,0.3955,-13.6,941050.71,78897.35,64.554
2022-01-31,PF00144,11.88,-3.15,15.03,2.83,4.1979,-8.42,805007.13,-7449.52,-8.9417
2022-01-31,PF00038,0.05,-0.65,0.7,16.34,0.0031,-6.77,126734.07,67543.23,32.2417
2022-01-31,PF00050,-6.51,4.95,-11.46,16.29,-0.3996,-8.59,1747318.03,44382.6,66.2149
2022-01-31,PF00049,6.88,-4.99,11.87,3.75,1.8347,-13.41,282077.49,30912.94,68.7765
2022-01-31,PF00128,-1.84,6.76,-8.6,15.58,-0.1181,-11.45,927095.69,-3284.34,66.3315
2022-01-31,PF00130,-2.3,3.13,-5.43,14.2,-0.162,-11.59,1296669.53,35556.6,30.5975
2022-01-31,PF00014,6.06,-3.33,9.39,19.6,0.3092,-6.56,441485.23,49122.26,53.2955
2022-01-31,PF00034,6.13,2.99,3.14,2.74,2.2372,-7.95,541947.82,71070.17,-9.3977
2022-01-31,PF00061,7.75,-0.93,8.68,9.94,0.7797,-6.49,755301.91,79371.03,-13.9101
2022-01-31,PF00091,-2.68,6.78,-9.46,7.52,-0.3564,-6.96,1136419.5,10651.79,-8.9584
2022-01-31,PF00103,5.46,7.28,-1.82,14.85,0.3677,-7.71,1344440.11,50345.58,61.1215
2022-01-31,PF00073,-5.82,7.01,-12.83,11.87,-0.4903,-11.02,597155.11,2094.06,-12.0884
2022-01-31,PF00026,8.3,6.34,1.96,8.89,0.9336,-7.49,1664304.41,-4116.73,47.756
2022-01-31,PF00066,10.39,-0.07,10.46,16.27,0.6386,-2.86,1409050.05,4353.91,2.0055
2022-01-31,PF00082,-0.6,2.2,-2.8,9.87,-0.0608,-6.26,638374.34,-49540.03,61.9632
2022-01-31,PF00018,11.75,-1.51,13.26,2.88,4.0799,-7.21,1288904.18,-36886.02,10.5467
2022-01-31,PF00051,7.75,3.79,3.96,4.22,1.8365,-5.74,1373250.9,-20729.46,20.9238
2022-01-31,PF00035,-4.64,1.21,-5.85,7.97,-0.5822,-0.78,1111855.86,2943.51,59.4519
2022-01-31,PF00068,6.32,3.48,2.84,9.63,0.6563,-8.53,608466.79,61545.23,61.2025
2022-01-31,PF00119,8.55,4.57,3.98,1.91,4.4764,-11.26,1573194.01,41311.4,45.1899
2022-01-31,PF00029,10.83,3.52,7.31,8.19,1.3223,-8.15,1081832.68,-26312.81,19.6563
2022-01-31,PF00099,-6.41,2.11,-8.52,17.72,-0.3617,-10.09,59287.07,-43787.61,-7.2239
2022-01-31,PF00048,3.39,-1.1,4.49,17.38,0.1951,-3.03,239120.15,87106.04,62.6858
2022-01-31,PF00149,6.36,6.23,0.13,1.33,4.782,-3.25,400041.19,61311.63,59.6541
2022-01-31,PF00046,-3.11,0.22,-3.33,5.6,-0.5554,-6.03,1109022.81,27231.56,39.2001
2022-01-31,PF00036,0.52,2.49,-1.97,10.17,0.0511,-0.5,558904.77,26820.04,66.9265
2022-01-31,PF00133,5.69,8.44,-2.75,19.93,0.2855,-2.82,373916.91,84329.39,-11.8125
2022-01-31,PF00004,-7.71,-2.92,-4.79,18.33,-0.4206,-5.14,807468.61,86657.05,21.9498
2022-01-31,PF00141,-6.9,6.14,-13.04,8.85,-0.7797,-1.61,613220.78,59975.04,5.7269
2022-01-31,PF00109,7.03,4.59,2.44,8.23,0.8542,-5.75,611954.63,47252.51,51.5603
2022-01-31,PF00019,-7.72,1.09,-8.81,12.69,-0.6084,-5.44,1903068.71,-18684.92,66.3966
2022-01-31,PF00022,-3.41,0.56,-3.97,17.88,-0.1907,-5.6,1732182.08,-35915.16,75.7293
2022-01-31,PF00015,1.22,-5.47,6.69,1.38,0.8841,-2.54,561250.92,14201.93,55.9953
2022-01-31,PF00002,11.57,6.85,4.72,5.35,2.1626,-6.35,1163098.17,-28868.8,10.8651
2022-01-31,PF00020,11.94,9.2,2.74,14.83,0.8051,-3.93,1236058.51,98327.73,37.139
2022-01-31,PF00096,5.93,8.64,-2.71,7.43,0.7981,-7.59,1287645.72,-1089.84,-13.8123
2022-01-31,PF00124,10.99,9.32,1.67,3.08,3.5682,-11.35,1027545.01,57393.02,70.5645
2022-01-31,PF00083,0.87,-0.28,1.15,15.52,0.0561,-8.8,1352068.17,76090.21,75.8068
2022-01-31,PF00108,-4.83,-0.64,-4.19,12.6,-0.3833,-14.63,1823098.3,93090.84,71.9349
2022-01-31,PF00147,6.15,9.44,-3.29,10.19,0.6035,-4.39,577582.36,25548.13,72.648
2022-01-31,PF00095,10.83,-4.02,14.85,18.99,0.5703,-8.32,1679425.38,30590.14,36.7879
2022-02-28,PF00052,10.0,-1.19,11.19,17.87,0.5596,-1.34,852567.86,62345.98,18.068
2022-02-28,PF00060,9.92,-4.62,14.54,7.8,1.2718,-10.67,1926791.53,96882.09,11.6669
2022-02-28,PF00009,7.35,-3.78,11.13,19.27,0.3814,-0.31,1539344.29,11733.11,74.4196
2022-02-28,PF00062,7.76,3.12,4.64,18.08,0.4292,-8.83,860189.21,67921.15,61.5812
2022-02-28,PF00061,-6.98,1.48,-8.46,4.32,-1.6157,-2.91,247089.08,73263.99,-18.8201
2022-02-28,PF00124,-5.71,-2.1,-3.61,12.21,-0.4676,-4.36,853828.85,50562.02,9.0041
2022-02-28,PF00092,3.31,8.0,-4.69,10.14,0.3264,-11.84,477499.88,-35757.63,3.8384
2022-02-28,PF00131,9.51,-4.84,14.35,7.77,1.2239,-3.72,1726692.88,-41861.18,33.8658
2022-02-28,PF00027,-7.75,5.0,-12.75,9.97,-0.7773,-10.41,1837329.8,25599.14,55.0238
2022-02-28,PF00056,11.84,0.03,11.81,13.99,0.8463,-4.42,586418.85,-15340.78,-4.7894
2022-02-28,PF00001,-5.61,-2.85,-2.76,1.84,-3.0489,-3.16,1590572.5,-30742.54,37.0074
2022-02-28,PF00026,4.78,4.39,0.39,6.16,0.776,-11.3,907366.99,-15036.16,-0.1652
2022-02-28,PF00035,3.2,9.43,-6.23,5.79,0.5527,-12.6,939072.53,-38981.99,59.642
2022-02-28,PF00023,3.92,8.56,-4.64,14.52,0.27,-10.3,1284553.55,69137.24,28.0271
2022-02-28,PF00118,8.46,8.63,-0.17,7.12,1.1882,-0.91,1963196.85,7009.25,47.2232
2022-02-28,PF00006,0.67,1.16,-0.49,19.84,0.0338,-8.85,974988.64,-27946.61,0.9275
2022-02-28,PF00073,6.62,0.48,6.14,16.56,0.3998,-6.57,532328.8,-952.96,39.2791
2022-02-28,PF00134,-1.18,4.98,-6.16,16.89,-0.0699,-6.06,1673976.63,-46272.12,64.2284
2022-02-28,PF00083,-3.36,0.76,-4.12,12.1,-0.2777,-5.46,816102.78,15119.81,72.9841
2022-02-28,PF00119,11.41,8.42,2.99,2.34,4.8761,-2.45,1218167.31,44734.26,61.9035
2022-02-28,PF00018,-6.19,-5.35,-0.84,7.4,-0.8365,-12.34,1112367.86,-13478.86,51.6538
2022-02-28,PF00017,10.4,-3.13,13.53,7.31,1.4227,-4.17,756925.93,34123.99,69.3395
2022-02-28,PF00053,-1.63,-4.79,3.16,17.06,-0.0955,-13.84,120686.19,73794.77,14.5868
2022-02-28,PF00033,-1.73,-4.5,2.77,10.79,-0.1603,-1.01,350088.59,12289.32,41.4782
2022-02-28,PF00015,-4.06,6.21,-10.27,10.71,-0.3791,-11.56,556188.94,81286.93,72.5014
2022-02-28,PF00008,-0.27,-5.24,4.97,3.86,-0.0699,-14.5,1827596.52,32024.6,-5.8403
2022-02-28,PF00024,-1.66,0.08,-1.74,13.88,-0.1196,-4.78,161867.89,-21085.44,30.568
2022-02-28,PF00111,-0.52,-0.33,-0.19,8.62,-0.0603,-10.72,85223.39,-5208.39,31.4654
2022-02-28,PF00077,10.32,8.14,2.18,11.04,0.9348,-3.0,1194541.15,-37881.34,26.6859
2022-02-28,PF00004,-7.88,6.28,-14.16,17.91,-0.44,-8.71,1854827.98,-11874.33,50.3627
2022-02-28,PF00141,6.74,9.76,-3.02,19.06,0.3536,-8.59,1838077.08,16165.71,-17.2749
2022-02-28,PF00016,-6.39,-2.56,-3.83,6.96,-0.9181,-12.79,26641.59,13176.02,16.1033
2022-02-28,PF00116,-0.12,-4.32,4.2,8.69,-0.0138,-5.32,373059.55,52633.16,13.1973
2022-02-28,PF00050,2.96,-0.3,3.26,11.33,0.2613,-12.35,211102.06,-24237.6,31.2037
2022-02-28,PF00133,11.11,2.47,8.64,4.95,2.2444,-10.18,510253.16,-34688.9,4.4829
2022-02-28,PF00013,-6.11,8.7,-14.81,11.94,-0.5117,-12.32,1768700.85,19182.44,3.2496
2022-02-28,PF00107,-4.14,-3.62,-0.52,18.07,-0.2291,-2.96,715139.32,-36328.59,74.0847
2022-02-28,PF00091,-2.74,-2.42,-0.32,11.3,-0.2425,-10.63,450899.44,-44978.61,-16.3433
2022-02-28,PF00070,-1.52,-5.28,3.76,9.52,-0.1597,-10.59,1587165.95,15434.75,-11.2213
2022-02-28,PF00098,-5.82,-2.48,-3.34,11.72,-0.4966,-13.99,1913906.11,95516.77,77.8392
2022-02-28,PF00043,8.5,5.11,3.39,9.99,0.8509,-7.37,951339.07,-37177.22,25.2119
2022-02-28,PF00028,4.19,3.62,0.57,10.29,0.4072,-3.17,180997.29,73840.26,50.3383
2022-02-28,PF00054,2.77,-2.78,5.55,5.55,0.4991,-11.83,852628.23,1829.71,45.6257
2022-02-28,PF00010,10.45,6.77,3.68,15.65,0.6677,-13.96,718067.36,-30351.24,-6.1127
2022-02-28,PF00125,5.96,-3.54,9.5,3.45,1.7275,-2.4,1244619.8,-35104.4,28.9918
2022-02-28,PF00108,11.02,-5.56,16.58,2.66,4.1429,-12.42,101289.19,1655.72,52.5698
2022-02-28,PF00064,9.06,5.06,4.0,9.6,0.9437,-5.25,549010.86,32115.72,39.6437
2022-02-28,PF00121,-3.06,5.27,-8.33,3.19,-0.9592,-6.55,1148255.45,32605.83,16.2484
2022-02-28,PF00149,-7.33,-3.79,-3.54,7.16,-1.0237,-9.05,515605.98,61254.55,18.6292
2022-02-28,PF00051,4.65,0.34,4.31,18.14,0.2563,-1.33,1756908.96,-48379.67,31.0776
2022-02-28,PF00076,4.21,9.16,-4.95,16.26,0.2589,-13.96,1004012.81,-23213.18,73.365
2022-02-28,PF00049,-7.94,6.36,-14.3,14.36,-0.5529,-1.42,831878.41,-27126.74,33.6732
2022-02-28,PF00147,-4.47,6.29,-10.76,7.24,-0.6174,-9.82,1022931.9,-2027.32,-0.9439
2022-02-28,PF00140,-5.41,-0.94,-4.47,6.05,-0.8942,-4.62,316135.22,-40850.04,6.4855
2022-02-28,PF00145,2.47,-1.27,3.74,19.59,0.1261,-4.32,321425.18,66119.63,6.7731
2022-02-28,PF00042,8.3,-1.08,9.38,19.95,0.416,-7.51,1752400.29,20247.26,24.7936
2022-02-28,PF00113,7.36,6.77,0.59,18.15,0.4055,-2.2,1896637.15,73882.3,-11.2031
2022-02-28,PF00068,4.86,-5.46,10.32,19.91,0.2441,-3.39,1549186.13,46664.51,66.4242
2022-02-28,PF00080,5.28,-2.45,7.73,17.37,0.304,-14.46,557196.91,29320.93,14.3338
2022-02-28,PF00143,11.54,1.33,10.21,4.27,2.7026,-14.32,1845679.9,99128.63,45.8841
2022-02-28,PF00129,-1.32,9.58,-10.9,18.99,-0.0695,-10.24,738595.39,46066.79,76.7482
2022-02-28,PF00146,-3.26,-2.96,-0.3,8.14,-0.4005,-14.27,1983074.38,68709.63,26.7825
2022-02-28,PF00014,6.61,7.99,-1.38,14.33,0.4613,-4.08,1264097.66,94367.49,53.5563
2022-02-28,PF00089,11.56,-2.24,13.8,6.52,1.773,-14.6,1330028.12,62723.72,55.8835
2022-02-28,PF00123,-1.01,8.18,-9.19,14.16,-0.0713,-13.57,282176.51,-48424.69,57.8638
2022-02-28,PF00032,2.22,7.99,-5.77,19.54,0.1136,-11.72,1427763.49,79792.81,12.9229
2022-02-28,PF00021,-6.7,6.32,-13.02,13.12,-0.5107,-10.8,1303843.93,72987.73,15.3257
2022-02-28,PF00101,6.49,-0.08,6.57,16.93,0.3833,-12.79,1769198.59,87026.16,23.5282
2022-02-28,PF00069,5.6,7.62,-2.02,19.27,0.2906,-0.12,387426.66,63653.32,79.2882
2022-02-28,PF00095,3.02,1.13,1.89,4.24,0.7123,-13.89,400897.85,-22223.45,29.4614
2022-02-28,PF00104,-4.27,6.52,-10.79,6.72,-0.6354,-6.79,28627.7,-46275.6,7.34
2022-02-28,PF00082,-3.66,-1.38,-2.28,8.47,-0.4321,-1.05,1642606.31,24999.07,52.5199
2022-02-28,PF00114,8.02,7.5,0.52,10.5,0.7638,-7.6,973419.79,-8593.09,4.2317
2022-02-28,PF00106,-2.75,1.17,-3.92,13.98,-0.1967,-11.02,1841024.21,68911.4,6.3422
2022-02-28,PF00045,-3.21,7.18,-10.39,19.9,-0.1613,-1.35,300020.42,32889.74,-4.9568
2022-02-28,PF00090,5.57,3.14,2.43,6.84,0.8143,-6.64,1122170.32,62067.5,76.0831
2022-02-28,PF00065,-1.01,0.19,-1.2,8.0,-0.1263,-6.73,872922.3,82004.67,43.1367
2022-02-28,PF00038,10.79,4.86,5.93,11.98,0.9007,-0.68,1930777.31,90434.96,-19.6908
2022-02-28,PF00148,8.01,4.89,3.12,16.52,0.4849,-13.6,849583.16,-17034.34,56.7627
2022-02-28,PF00128,4.96,0.31,4.65,5.05,0.9822,-13.38,375836.11,77674.72,54.4461
2022-02-28,PF00055,8.05,-1.57,9.62,15.49,0.5197,-9.2,581939.41,-1666.31,66.097
2022-02-28,PF00030,9.65,0.13,9.52,13.62,0.7085,-9.99,1399062.23,-48311.97,46.4262
2022-02-28,PF00078,1.88,4.35,-2.47,6.31,0.2979,-4.0,168221.91,85476.27,53.0259
2022-02-28,PF00074,3.63,-4.21,7.84,15.31,0.2371,-8.09,459222.99,55993.12,63.6191
2022-02-28,PF00046,8.49,6.89,1.6,15.59,0.5446,-10.36,1253293.49,-38788.0,35.676
2022-02-28,PF00048,5.77,-3.35,9.12,7.09,0.8138,-10.84,1277885.66,-16566.61,73.4414
2022-02-28,PF00075,-0.64,8.04,-8.68,7.68,-0.0833,-5.72,173855.99,26836.68,10.7136
2022-02-28,PF00110,3.93,-0.54,4.47,1.22,3.2213,-12.89,1463894.78,-609.6,54.0282
2022-02-28,PF00084,6.78,4.6,2.18,11.68,0.5805,-8.42,758194.09,-37198.8,18.0026
2022-02-28,PF00142,-1.69,-5.91,4.22,18.08,-0.0935,-7.17,234820.42,39328.75,64.5796
2022-02-28,PF00079,0.82,3.68,-2.86,3.23,0.2539,-9.43,564614.18,63266.04,-17.0116
2022-02-28,PF00025,-1.96,2.07,-4.03,19.55,-0.1003,-0.94,1928606.31,-43420.15,46.3846
2022-02-28,PF00066,9.3,-3.52,12.82,16.56,0.5616,-4.07,296711.1,-11756.03,-18.4422
2022-02-28,PF00085,7.91,6.44,1.47,5.51,1.4356,-13.03,1686960.5,-9643.57,40.2064
2022-02-28,PF00138,11.56,-1.27,12.83,7.1,1.6282,-12.54,1581686.96,5592.13,-12.2594
2022-02-28,PF00029,0.12,7.36,-7.24,6.67,0.018,-5.76,1481847.08,-29048.33,40.1269
2022-02-28,PF00040,8.07,5.62,2.45,18.74,0.4306,-2.39,1406395.12,-44822.37,0.6597
2022-02-28,PF00063,-6.1,-5.08,-1.02,3.65,-1.6712,-8.79,468470.92,79293.9,17.0199
2022-02-28,PF00097,4.0,6.24,-2.24,10.11,0.3956,-3.92,1949335.0,90987.79,10.5978
2022-02-28,PF00086,4.56,8.53,-3.97,10.67,0.4274,-0.79,920300.57,94409.76,17.0993
2022-03-31,PF00083,-6.24,9.28,-15.52,10.69,-0.5837,-1.06,1817630.63,53256.65,9.1931
2022-03-31,PF00121,5.1,-6.0,11.1,13.21,0.3861,-10.3,1247373.24,92502.35,-16.88
2022-03-31,PF00094,-5.9,2.67,-8.57,7.18,-0.8217,-12.55,179236.86,-29045.07,57.7012
2022-03-31,PF00149,-5.28,-5.36,0.08,14.61,-0.3614,-0.85,267228.72,34603.8,56.7438
2022-03-31,PF00093,3.61,8.22,-4.61,18.65,0.1936,-11.23,372832.52,-33543.16,66.5627
2022-03-31,PF00051,10.07,6.46,3.61,16.06,0.627,-14.83,1036034.6,92568.74,77.9673
2022-03-31,PF00042,8.67,-3.66,12.33,18.5,0.4686,-14.42,27170.58,60527.66,16.4443
2022-03-31,PF00022,9.84,9.27,0.57,3.13,3.1438,-5.04,1112517.31,46498.48,67.857
2022-03-31,PF00137,-3.76,5.96,-9.72,10.36,-0.3629,-0.74,574745.47,-5151.05,30.5648
2022-03-31,PF00136,3.82,1.26,2.56,3.94,0.9695,-4.51,1337740.86,37009.96,-12.9374
2022-03-31,PF00028,0.11,6.44,-6.33,14.89,0.0074,-8.84,1336516.4,8383.79,19.2978
2022-03-31,PF00066,4.55,-3.05,7.6,9.18,0.4956,-5.0,1474900.32,26937.03,-6.4351
2022-03-31,PF00011,11.3,2.05,9.25,13.19,0.8567,-3.38,770467.04,54703.38,-5.0555
2022-03-31,PF00089,-0.59,4.21,-4.8,10.62,-0.0556,-10.22,793910.29,83205.53,73.6374
2022-03-31,PF00072,0.52,-0.51,1.03,15.88,0.0327,-10.55,1025174.89,-6006.41,-2.7007
2022-03-31,PF00129,-7.39,-0.46,-6.93,6.05,-1.2215,-13.31,1973909.23,-20444.11,-0.0692
2022-03-31,PF00065,9.53,-3.16,12.69,13.72,0.6946,-3.46,940140.12,48420.1,59.9535
2022-03-31,PF00106,-7.35,-2.96,-4.39,9.56,-0.7688,-1.1,670839.75,-8196.82,-3.1018
2022-03-31,PF00092,10.91,8.54,2.37,2.77,3.9386,-1.03,354910.46,-16431.88,79.3985
2022-03-31,PF00045,11.17,5.83,5.34,11.04,1.0118,-5.54,68334.64,62030.98,40.9556
2022-03-31,PF00021,-7.69,-1.83,-5.86,3.85,-1.9974,-1.0,1706280.47,15436.1,47.8521
2022-03-31,PF00050,-3.11,4.39,-7.5,8.9,-0.3494,-12.09,1254138.23,28239.09,-6.7662
2022-03-31,PF00146,2.76,4.94,-2.18,3.78,0.7302,-0.17,1738230.78,-48927.38,49.6457
2022-03-31,PF00067,-6.09,-3.61,-2.48,3.09,-1.9709,-3.87,345091.23,22396.93,40.4857
2022-03-31,PF00007,2.25,-0.1,2.35,11.82,0.1904,-8.93,1266426.39,-38418.3,-11.218
2022-03-31,PF00047,10.47,7.98,2.49,11.47,0.9128,-14.75,343096.08,-33126.93,-14.529
2022-03-31,PF00070,11.47,9.42,2.05,5.03,2.2803,-14.68,499469.26,6659.23,60.1646
2022-03-31,PF00116,-5.54,1.99,-7.53,16.3,-0.3399,-12.52,174394.68,34821.52,60.4418
2022-03-31,PF00026,4.53,3.93,0.6,16.13,0.2808,-7.3,384340.14,-49840.0,-18.0335
2022-03-31,PF00126,1.18,-3.87,5.05,13.85,0.0852,-13.04,1619986.83,37752.52,73.1835
2022-03-31,PF00057,3.68,-5.1,8.78,9.17,0.4013,-14.98,1027282.47,-20454.12,43.4921
2022-03-31,PF00135,8.59,-4.55,13.14,8.11,1.0592,-12.13,1186622.18,73870.21,78.2828
2022-03-31,PF00105,-6.2,4.38,-10.58,3.23,-1.9195,-2.45,1536959.73,-28577.25,7.1587
2022-03-31,PF00124,11.9,3.69,8.21,5.38,2.2119,-13.76,695171.84,72196.93,-1.0519
2022-03-31,PF00018,11.69,7.69,4.0,3.17,3.6877,-6.12,767715.68,41189.42,14.9299
2022-03-31,PF00087,-0.79,-1.14,0.35,12.29,-0.0643,-13.87,1860738.93,32514.64,74.8947
2022-03-31,PF00133,3.09,8.58,-5.49,10.38,0.2977,-11.46,256518.67,55953.56,-1.6076
2022-03-31,PF00001,-3.55,8.42,-11.97,6.05,-0.5868,-5.29,1399283.16,17623.23,37.3858
2022-03-31,PF00041,11.2,-5.14,16.34,6.08,1.8421,-4.3,1389569.48,95147.56,7.9151
2022-03-31,PF00033,5.45,3.84,1.61,16.26,0.3352,-8.57,1468282.77,55795.04,27.4649
2022-03-31,PF00123,9.68,6.1,3.58,17.25,0.5612,-11.11,644743.64,-17140.75,-11.6988
2022-03-31,PF00052,4.72,9.25,-4.53,10.37,0.4552,-1.43,1966350.05,-35257.66,62.7495
2022-03-31,PF00004,9.09,6.31,2.78,9.7,0.9371,-7.28,1313584.09,72998.54,52.6202
2022-03-31,PF00019,2.8,1.26,1.54,19.09,0.1467,-3.49,687114.49,-42871.54,42.599
2022-03-31,PF00097,-6.43,-3.26,-3.17,4.97,-1.2938,-1.94,1031089.25,62079.15,3.0602
2022-03-31,PF00036,0.43,-0.91,1.34,12.74,0.0338,-7.64,1104391.03,-18438.11,-5.2941
2022-03-31,PF00118,-3.69,-0.75,-2.94,1.1,-3.3545,-13.94,679852.17,2279.75,-4.3861
2022-03-31,PF00017,10.06,6.64,3.42,17.47,0.5758,-2.38,1876493.65,757.39,50.7304
